NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,REAL_CARS_PER_SECOND,REAL_CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA,FREQUENCY_DATA,DETECTIONS_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME
1,0,15.567577003479004,[0],0,NaN,NaN,10,32,1,5,1649160012512,1649159980512,undefined,undefined
1,10,25.42830899810791,[0.313],0.313,NaN,NaN,10,32,1,18,1649160022512,1649159990512,undefined,undefined
1,17,48.75552500152588,[0.531],0.531,NaN,NaN,10,32,1,28,1649160032512,1649160000512,undefined,undefined
1,27,22.0037679977417,[0.844],0.844,NaN,NaN,10,32,1,33,1649160042512,1649160010512,undefined,undefined
1,31,24.28631000137329,[0.969],0.969,NaN,NaN,10,32,1,35,1649160052512,1649160020512,undefined,undefined
1,41,43.18384899902344,[1.281],1.281,NaN,NaN,10,32,1,35,1649160062512,1649160030512,undefined,undefined
2,0,46.81264699935913,[0;0],0,NaN,NaN,10,32,1,10,1649164227612,1649164195612,undefined,undefined
2,25,47.368201000213624,[0.5;0.281],0.3905,NaN,NaN,10,32,1,30,1649164237612,1649164205612,undefined,undefined
2,47,70.2453630027771,[1;0.469],0.7344999999999999,NaN,NaN,10,32,1,50,1649164247612,1649164215612,undefined,undefined
2,63,28.253151000976562,[1.219;0.75],0.9845,NaN,NaN,10,32,1,60,1649164257612,1649164225612,undefined,undefined
2,70,68.19396300125122,[1.219;0.969],1.094,NaN,NaN,10,32,1,70,1649164267612,1649164235612,undefined,undefined
2,70,113.13332000350952,[0.906;1.281],1.0935,NaN,NaN,10,32,1,70,1649164277612,1649164245612,undefined,undefined
2,91,65.75756900024415,[1.281;1.563],1.422,NaN,NaN,10,32,1,70,1649164287612,1649164255612,undefined,undefined
2,78,41.9317319984436,[1.25;1.188],1.2189999999999999,NaN,NaN,10,32,1,70,1649164297612,1649164265612,undefined,undefined
2,70,64.02225299835204,[1.375;0.813],1.0939999999999999,NaN,NaN,10,32,1,70,1649164307612,1649164275612,undefined,undefined
2,80,48.24197499847412,[1.594;0.906],1.25,NaN,NaN,10,32,1,70,1649164317612,1649164285612,undefined,undefined
2,80,63.40156699752808,[1.406;1.094],1.25,NaN,NaN,10,32,1,70,1649164327612,1649164295612,undefined,undefined
2,78,59.444165000915525,[1.031;1.406],1.2185,NaN,NaN,10,32,1,70,1649164337612,1649164305612,undefined,undefined
2,0,55.77579999923706,[0;0],0,NaN,NaN,10,32,1,20,1649165792317,1649165760317,undefined,undefined
2,31,57.104442001342775,[0.625;0.344],0.4845,NaN,NaN,10,32,1,30,1649165802317,1649165770317,undefined,undefined
2,52,66.85846299743652,[1.063;0.563],0.813,NaN,NaN,10,32,1,50,1649165812317,1649165780317,undefined,undefined
2,69,249.28223999786377,[1.281;0.875],1.0779999999999998,NaN,NaN,10,32,1,70,1649165822317,1649165790317,undefined,undefined
2,73,50.99527099990845,[1.188;1.094],1.141,NaN,NaN,10,32,1,70,1649165832317,1649165800317,undefined,undefined
2,75,44.56470999908447,[1;1.344],1.1720000000000002,NaN,NaN,10,32,1,70,1649165842317,1649165810317,undefined,undefined
2,87,110.678094997406,[1.281;1.438],1.3595,NaN,NaN,10,32,1,70,1649165852317,1649165820317,undefined,undefined
2,79,337.10236800003054,[1.25;1.219],1.2345000000000002,NaN,NaN,10,32,1,70,1649165862317,1649165830317,undefined,undefined
2,76,48.82828400039673,[1.375;1],1.1875,NaN,NaN,10,32,1,70,1649165872317,1649165840317,undefined,undefined
2,74,165.9315960006714,[1.281;1.031],1.156,NaN,NaN,10,32,1,70,1649165882317,1649165850317,undefined,undefined
2,74,38.225783000946045,[1.156;1.156],1.156,NaN,NaN,10,32,1,70,1649165892317,1649165860317,undefined,undefined
2,85,65.9870410003662,[1.156;1.5],1.3279999999999998,NaN,NaN,10,32,1,70,1649165902317,1649165870317,undefined,undefined
